Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
47,BLACKWOOD MAIN-34,BLACKWOOD MAIN,BALY COURT,BELAIR,BALY COURT,BELAIR,BALY COURT|BELAIR,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ADAMSON AVENUE|BELAIR,"1 ADAMSON AVENUE, BELAIR SA","1 ADAMSON AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.997909338776445,138.6141023284303,No,The Directions route places the former/unmatched court as the third right from Adamson Avenue.,,
49,BLACKWOOD MAIN-35,BLACKWOOD MAIN,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT|BLACKWOOD,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 BANKSIA CRESCENT, BLACKWOOD SA","1 BANKSIA CRESCENT, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed No. 1,55,-35.01123074621058,138.60507848775936,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for BANKSIA CRESCENT, BELAIR.",,
59,BLACKWOOD MAIN-43,BLACKWOOD MAIN,BEALE AVENUE,GLENALTA,BEALE AVENUE,GLENALTA,BEALE AVENUE|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BEALE AVENUE, GLENALTA SA","LOT 1 BEALE AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.01579425371274,138.62603319489065,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
60,BLACKWOOD MAIN-44,BLACKWOOD MAIN,BELAIR ROAD,BELAIR · LYNTON,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
61,BLACKWOOD MAIN-45,BLACKWOOD MAIN,BELLEVUE DRIVE,BELLEVUE HEIGHTS,BELLEVUE DRIVE,BELLEVUE HEIGHTS,BELLEVUE DRIVE|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BELLEVUE DRIVE, BELLEVUE HEIGHTS SA","LOT 1 BELLEVUE DRIVE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.01805092542758,138.57675197450035,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
62,CORO EAST & CHERRY-3,CORO EAST & CHERRY,BEN LOMAN ROAD,COROMANDEL EAST,BEN LOMAN ROAD,COROMANDEL EAST,BEN LOMAN ROAD|COROMANDEL EAST,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BEN LOMAN ROAD, COROMANDEL EAST SA","46 BEN LOMAN ROAD, COROMANDEL EAST, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.052533744433326,138.63371470190557,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
63,CORO STREETS-11,CORO STREETS,BEN LOMMAN ROAD,COROMANDEL VALLEY EAST,BEN LOMMAN ROAD,COROMANDEL VALLEY EAST,BEN LOMMAN ROAD|COROMANDEL VALLEY EAST,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"BEN LOMMAN ROAD, COROMANDEL VALLEY EAST SA","26 BEN LOMAN ROAD, COROMANDEL EAST, SOUTH AUSTRALIA, 5157",Reviewed street-only,98.37,-35.051378369785056,138.63626951186689,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for BEN LOMAN ROAD, COROMANDEL EAST.",,
66,BLACKWOOD MAIN-48,BLACKWOOD MAIN,BERMUDA WAY,GLENALTA,BERMUDA WAY,GLENALTA,BERMUDA WAY|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BERMUDA WAY, GLENALTA SA","17 BERMUDA WAY, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00976851686358,138.63016817313533,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
71,CORO STREETS-12,CORO STREETS,BLACK ROAD,ABERFOYLE PARK · FLAGSTAFF HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,GLENDALE AVENUE|FLAGSTAFF HILL,"2 GLENDALE AVENUE, FLAGSTAFF HILL SA","2 GLENDALE AVENUE, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",Reviewed Directions route vicinity anchor,100,-35.05750496843955,138.6146694314909,No,The Directions entry spans multiple locality fields. A reviewed official approach point (GLENDALE AVENUE|FLAGSTAFF HILL) was selected without merging it with other same-name street records.,,
72,BLACKWOOD MAIN-53,BLACKWOOD MAIN,BLACKTHORNE AVENUE,HAWTHORNDENE,BLACKTHORNE AVENUE,HAWTHORNDENE,BLACKTHORNE AVENUE|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 BLACKTHORNE AVENUE, HAWTHORNDENE SA","1 BLACKTHORN AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed No. 1,99.1,-35.018316154619356,138.62450906094355,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for BLACKTHORN AVENUE, HAWTHORNDENE.",,
74,BLACKWOOD PARK-6,BLACKWOOD PARK,BLUE BELL COURT,CRAIGBURN FARM,BLUE BELL COURT,CRAIGBURN FARM,BLUE BELL COURT|CRAIGBURN FARM,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 BLUE BELL COURT, CRAIGBURN FARM SA","1 BLUEBELL COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed No. 1,98.92,-35.03414469835719,138.61778031553234,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for BLUEBELL COURT, CRAIGBURN FARM.",,
75,BLACKWOOD MAIN-54,BLACKWOOD MAIN,BLYTHEWOOD ROAD,MITCHAM,BLYTHEWOOD ROAD,MITCHAM,BLYTHEWOOD ROAD|MITCHAM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BLYTHEWOOD ROAD, MITCHAM SA","LOT 10 BLYTHEWOOD ROAD, MITCHAM, SOUTH AUSTRALIA, 5062",Reviewed street-only,100,-34.98288021823634,138.6225507053619,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
76,CORO EAST & CHERRY-4,CORO EAST & CHERRY,BOKO ROAD,CHERRY GARDENS,BOKO ROAD,CHERRY GARDENS,BOKO ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BOKO ROAD, CHERRY GARDENS SA","6 BOKO ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.06862057977845,138.62920313734367,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
79,BLACKWOOD PARK-7,BLACKWOOD PARK,BONYTHON WAY,CRAIGBURN FARM,BONYTHON WAY,CRAIGBURN FARM,BONYTHON WAY|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BONYTHON WAY, CRAIGBURN FARM SA","50 BONYTHON WAY, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03604488496117,138.60507261749555,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
87,CORO EAST & CHERRY-5,CORO EAST & CHERRY,BRANDWOOD DRIVE,CHERRY GARDENS,BRANDWOOD DRIVE,CHERRY GARDENS,BRANDWOOD DRIVE|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BRANDWOOD DRIVE, CHERRY GARDENS SA","27 BRANDWOOD DRIVE, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.052744718156625,138.6713237032164,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
96,BLACKWOOD MAIN-67,BLACKWOOD MAIN,BROWNHILL CREEK ROAD,BROWNHILL CREEK · MITCHAM,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,JAMES ROAD|BELAIR,"2 JAMES ROAD, BELAIR SA","2 JAMES ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99664545319125,138.6307084152919,No,The Directions entry spans multiple locality fields. A reviewed official approach point (JAMES ROAD|BELAIR) was selected without merging it with other same-name street records.,,
97,CORO EAST & CHERRY-6,CORO EAST & CHERRY,BRUMBY STREET,CHERRY GARDENS,BRUMBY STREET,CHERRY GARDENS,BRUMBY STREET|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BRUMBY STREET, CHERRY GARDENS SA","4 BRUMBY STREET, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.07143190247916,138.63779240060651,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
112,BLACKWOOD MAIN-79,BLACKWOOD MAIN,CEZANNE COURT,BELAIR · TORRENS PARK,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
115,BLACKWOOD MAIN-81,BLACKWOOD MAIN,CHAPMAN STREET,BLACKWOOD,CHAPMAN STREET,BLACKWOOD,CHAPMAN STREET|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"1 CHAPMAN STREET, BLACKWOOD SA","1 CHAPMAN STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed No. 1,100,-35.01702451869617,138.615850243949,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
119,CORO EAST & CHERRY-7,CORO EAST & CHERRY,CHERRY GARDENS ROAD,CHERRY GARDENS,CHERRY GARDENS ROAD,CHERRY GARDENS,CHERRY GARDENS ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"CHERRY GARDENS ROAD, CHERRY GARDENS SA","11 CHERRY GARDENS ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.07102578695614,138.62775175909036,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
120,BLACKWOOD MAIN-84,BLACKWOOD MAIN,CHERRY PLANTATION ROAD,BELAIR NATIONAL PARK,CHERRY PLANTATION ROAD,BELAIR NATIONAL PARK,CHERRY PLANTATION ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,"QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA","LOT 599 QUEENS JUBILEE DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,55,-35.0076162646897,138.6497405220847,No,Internal park road; use the nearest reviewed official Belair National Park road candidate as a safe live-map starting point.,https://www.walkingsa.org.au/walk/find-a-place-to-walk/rsl-walk-belair-national-park/,
122,BLACKWOOD MAIN-86,BLACKWOOD MAIN,CHOWILLA STREET,EDEN HILLS,CHOWILLA STREET,EDEN HILLS,CHOWILLA STREET|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"CHOWILLA STREET, EDEN HILLS SA","15 CHOWILLA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.02628566033404,138.5947530495054,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
123,BLACKWOOD MAIN-87,BLACKWOOD MAIN,CHRISTINE AVENUE,BELAIR,CHRISTINE AVENUE,BELAIR,CHRISTINE AVENUE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"CHRISTINE AVENUE, BELAIR SA","3 CHRISTINE AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00607487572477,138.61179282434122,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
126,BLACKWOOD MAIN-90,BLACKWOOD MAIN,CLEMATIS DRIVE,BLACKWOOD,CLEMATIS DRIVE,BLACKWOOD,CLEMATIS DRIVE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"CLEMATIS DRIVE, BLACKWOOD SA","7 CLEMATIS DRIVE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.030314795943475,138.60875469599358,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
129,BLACKWOOD MAIN-92,BLACKWOOD MAIN,COLEBROOK DRIVE,EDEN HILLS,COLEBROOK DRIVE,EDEN HILLS,COLEBROOK DRIVE|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"COLEBROOK DRIVE, EDEN HILLS SA","LOT 2 COLEBROOK DRIVE, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.02995475309696,138.5974090770456,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
132,BLACKWOOD MAIN-95,BLACKWOOD MAIN,COLTON ROAD,BLACKWOOD,COLTON ROAD,BLACKWOOD,COLTON ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"1 COLTON ROAD, BLACKWOOD SA","1 COLTON ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed No. 1,100,-35.01519744355956,138.6185893446163,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
133,BLACKWOOD MAIN-96,BLACKWOOD MAIN,COOPER STREET,EDEN HILLS,COOPER STREET,EDEN HILLS,COOPER STREET|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"COOPER STREET, EDEN HILLS SA","4 COOPER STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.018147340063365,138.57949320980904,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
137,BLACKWOOD MAIN-99,BLACKWOOD MAIN,COROMANDEL PARADE,BLACKWOOD · COROMANDEL VALLEY,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,BORONIA AVENUE|COROMANDEL VALLEY,"1 BORONIA AVENUE, COROMANDEL VALLEY SA","1 BORONIA AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0384349717624,138.62090952191232,No,The Directions entry spans multiple locality fields. A reviewed official approach point (BORONIA AVENUE|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
138,CORO STREETS-20,CORO STREETS,COROMANDEL PARADE,BLACKWOOD · COROMANDEL VALLEY,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,BORONIA AVENUE|COROMANDEL VALLEY,"1 BORONIA AVENUE, COROMANDEL VALLEY SA","1 BORONIA AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0384349717624,138.62090952191232,No,The Directions entry spans multiple locality fields. A reviewed official approach point (BORONIA AVENUE|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
139,BLACKWOOD PARK-13,BLACKWOOD PARK,COROMANDEL PARADE,CRAIGBURN FARM,COROMANDEL PARADE,CRAIGBURN FARM,COROMANDEL PARADE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"COROMANDEL PARADE, CRAIGBURN FARM SA","LOT 4 COROMANDEL PARADE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04336172407317,138.59457035978042,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
144,BLACKWOOD PARK-15,BLACKWOOD PARK,CRAIGBURN ROAD,CRAIGBURN FARM,CRAIGBURN ROAD,CRAIGBURN FARM,CRAIGBURN ROAD|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"CRAIGBURN ROAD, CRAIGBURN FARM SA","41 CRAIGBURN ROAD, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03420162212739,138.60606006702173,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
150,CORO STREETS-24,CORO STREETS,CRANE AVENUE,CORMANDEL VALLEY,CRANE AVENUE,CORMANDEL VALLEY,CRANE AVENUE|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 CRANE AVENUE, CORMANDEL VALLEY SA","2 CRANE AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,55,-35.043344291168545,138.62598854530842,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for CRANE AVENUE, COROMANDEL VALLEY.",,
151,BLACKWOOD MAIN-105,BLACKWOOD MAIN,CREEK ROAD,BELAIR NATIONAL PARK,CREEK ROAD,BELAIR NATIONAL PARK,CREEK ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,"QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA","LOT 599 QUEENS JUBILEE DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,55,-35.0076162646897,138.6497405220847,No,Internal park road reached from The Valley Road; use the reviewed official park-road starting point.,https://friendsofbelairnationalpark.com/wp-content/uploads/2023/06/2020novwalkbrochure.pdf,
153,CORO STREETS-25,CORO STREETS,CROWS NEST COURT,CORMANDEL VALLEY,CROWS NEST COURT,CORMANDEL VALLEY,CROWS NEST COURT|CORMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 CROWS NEST COURT, CORMANDEL VALLEY SA","2 CROWSNEST COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 2,54.02,-35.04880079031572,138.6259659536871,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for CROWSNEST COURT, COROMANDEL VALLEY.",,
154,BLACKWOOD MAIN-106,BLACKWOOD MAIN,CULLEY ROAD,BELAIR,CULLEY ROAD,BELAIR,CULLEY ROAD|BELAIR,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 CULLEY ROAD, BELAIR SA","1 CULLEY AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed No. 1,89.24,-34.997906314701154,138.62101180681188,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for CULLEY AVENUE, BELAIR.",,
