Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
11,BLACKWOOD MAIN-9,BLACKWOOD MAIN,AERIAL ROAD,BELAIR,AERIAL ROAD,BELAIR,AERIAL ROAD|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 AERIAL ROAD, BELAIR SA","1 AERIAL ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99931037507048,138.61560280343542,No,,,
12,BLACKWOOD MAIN-10,BLACKWOOD MAIN,AGONIS COURT,BLACKWOOD,AGONIS COURT,BLACKWOOD,AGONIS COURT|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 AGONIS COURT, BLACKWOOD SA","1 AGONIS COURT, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02991828630668,138.61174977574,No,,,
13,BLACKWOOD MAIN-11,BLACKWOOD MAIN,ALBERT PLACE,BLACKWOOD,ALBERT PLACE,BLACKWOOD,ALBERT PLACE|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ALBERT PLACE, BLACKWOOD SA","1 ALBERT PLACE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.015699440058,138.6199242070275,No,,,
14,BLACKWOOD PARK-1,BLACKWOOD PARK,ALEXANDRA PLACE,CRAIGBURN FARM,ALEXANDRA PLACE,CRAIGBURN FARM,ALEXANDRA PLACE|CRAIGBURN FARM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ALEXANDRA PLACE, CRAIGBURN FARM SA","1 ALEXANDRA PLACE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03331165455769,138.61956060644536,No,,,
15,BLACKWOOD MAIN-12,BLACKWOOD MAIN,ALISON AVENUE,BLACKWOOD,ALISON AVENUE,BLACKWOOD,ALISON AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ALISON AVENUE, BLACKWOOD SA","31 ALISON AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03219452556752,138.61113980196495,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
16,CORO STREETS-2,CORO STREETS,ALMOND COURT,COROMANDEL VALLEY,ALMOND COURT,COROMANDEL VALLEY,ALMOND COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ALMOND COURT, COROMANDEL VALLEY SA","1 ALMOND COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.05333298974428,138.61875424566313,No,,,
17,BLACKWOOD MAIN-13,BLACKWOOD MAIN,ALPHA ROAD,BELLEVUE HEIGHTS,ALPHA ROAD,BELLEVUE HEIGHTS,ALPHA ROAD|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ALPHA ROAD, BELLEVUE HEIGHTS SA","2 ALPHA ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 2,100,-35.030644953810636,138.5894319221992,No,,,
18,BLACKWOOD MAIN-14,BLACKWOOD MAIN,ALTA MIRA CRESCENT,BELAIR,ALTA MIRA CRESCENT,BELAIR,ALTA MIRA CRESCENT|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ALTA MIRA CRESCENT, BELAIR SA","1 ALTA MIRA CRESCENT, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99794100262362,138.62600882440154,No,,,
19,BLACKWOOD MAIN-15,BLACKWOOD MAIN,ALTON AVENUE,TORRENS PARK,ALTON AVENUE,TORRENS PARK,ALTON AVENUE|TORRENS PARK,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ALTON AVENUE, TORRENS PARK SA","1 ALTON AVENUE, TORRENS PARK, SOUTH AUSTRALIA, 5062",No. 1,100,-34.991198204156724,138.61228290242528,No,,,
20,BLACKWOOD MAIN-16,BLACKWOOD MAIN,AMBROSE STREET,BELAIR,AMBROSE STREET,BELAIR,AMBROSE STREET|BELAIR,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,LINDSAY TERRACE|BELAIR,"1 LINDSAY TERRACE, BELAIR SA","1 LINDSAY TERRACE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99863618416719,138.6313628607624,No,Ambrose Street is a small lane off the Upper Sturt Road/Lindsay Terrace area; use the reviewed official Lindsay Terrace approach point.,https://www.homely.com.au/ambrose-street-belair-mitcham-adelaide-greater-south-australia | https://www.realestate.com.au/sold/property-house-sa-belair-143686908,
21,BLACKWOOD MAIN-17,BLACKWOOD MAIN,ANDERSON AVENUE,HAWTHORNDENE,ANDERSON AVENUE,HAWTHORNDENE,ANDERSON AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ANDERSON AVENUE, HAWTHORNDENE SA","1 ANDERSON AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.022873436084154,138.637071069706,No,,,
22,BLACKWOOD MAIN-18,BLACKWOOD MAIN,ANDERSON AVENUE,MITCHAM,ANDERSON AVENUE,MITCHAM,ANDERSON AVENUE|MITCHAM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"ANDERSON AVENUE, MITCHAM SA","1-13 ANDERSON AVENUE, MITCHAM, SOUTH AUSTRALIA, 5062",street-only,100,-34.986777717627184,138.61856959918353,No,,,
23,CORO STREETS-3,CORO STREETS,ANNE STREET,COROMANDEL VALLEY,ANNE STREET,COROMANDEL VALLEY,ANNE STREET|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ANNE STREET, COROMANDEL VALLEY SA","1 ANNE STREET, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.05245707523032,138.61311843663975,No,,,
24,CORO STREETS-4,CORO STREETS,ANNETTE WAY,COROMANDEL VALLEY,ANNETTE WAY,COROMANDEL VALLEY,ANNETTE WAY|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ANNETTE WAY, COROMANDEL VALLEY SA","3 ANNETTE WAY, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04923127632786,138.61865089344283,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
25,CORO STREETS-5,CORO STREETS,ANNEWAN WALK,FLAGSTAFF HILL,ANNEWAN WALK,FLAGSTAFF HILL,ANNEWAN WALK|FLAGSTAFF HILL,Yes,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ANNEWAN WALK, FLAGSTAFF HILL SA","2 ANNEWAN WALK, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",No. 2,100,-35.05080130506467,138.61092366952496,No,,,
26,CORO EAST & CHERRY-2,CORO EAST & CHERRY,ANNEWAN WALK,FLAGSTAFF HILL,ANNEWAN WALK,FLAGSTAFF HILL,ANNEWAN WALK|FLAGSTAFF HILL,Yes,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ANNEWAN WALK, FLAGSTAFF HILL SA","2 ANNEWAN WALK, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",No. 2,100,-35.05080130506467,138.61092366952496,No,,,
27,CORO STREETS-6,CORO STREETS,APPLE GROVE,COROMANDEL VALLEY,APPLE GROVE,COROMANDEL VALLEY,APPLE GROVE|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 APPLE GROVE, COROMANDEL VALLEY SA","1 APPLE GROVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04612306058819,138.6187083508734,No,,,
28,BLACKWOOD PARK-2,BLACKWOOD PARK,APPLEBERRY CRESCENT,CRAIGBURN FARM,APPLEBERRY CRESCENT,CRAIGBURN FARM,APPLEBERRY CRESCENT|CRAIGBURN FARM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 APPLEBERRY CRESCENT, CRAIGBURN FARM SA","1 APPLEBERRY CRESCENT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03476872518801,138.6193490990617,No,,,
29,BLACKWOOD MAIN-19,BLACKWOOD MAIN,ARCHIBALD STREET,BLACKWOOD,ARCHIBALD STREET,BLACKWOOD,ARCHIBALD STREET|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ARCHIBALD STREET, BLACKWOOD SA","2 ARCHIBALD STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 2,100,-35.03020699655366,138.6123172345742,No,,,
30,BLACKWOOD MAIN-20,BLACKWOOD MAIN,ARDROSSAN AVENUE,BELAIR,ARDROSSAN AVENUE,BELAIR,ARDROSSAN AVENUE|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ARDROSSAN AVENUE, BELAIR SA","1 ARDROSSAN AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00405372610911,138.61832287021707,No,,,
31,BLACKWOOD MAIN-21,BLACKWOOD MAIN,ARGYLL WALK,BELLEVUE HEIGHTS,ARGYLL WALK,BELLEVUE HEIGHTS,ARGYLL WALK|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ARGYLL WALK, BELLEVUE HEIGHTS SA","1 ARGYLL WALK, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02541775072529,138.5836224956767,No,,,
32,BLACKWOOD MAIN-22,BLACKWOOD MAIN,ARIZONA TERRACE,GLENALTA,ARIZONA TERRACE,GLENALTA,ARIZONA TERRACE|GLENALTA,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ARIZONA TERRACE, GLENALTA SA","1 ARIZONA TERRACE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00729553482198,138.62685005099303,No,,,
33,BLACKWOOD PARK-3,BLACKWOOD PARK,ARNOLD CRESCENT,CRAIGBURN FARM,ARNOLD CRESCENT,CRAIGBURN FARM,ARNOLD CRESCENT|CRAIGBURN FARM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ARNOLD CRESCENT, CRAIGBURN FARM SA","2 ARNOLD CRESCENT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 2,100,-35.04657151316529,138.60748511803135,No,,,
34,BLACKWOOD MAIN-23,BLACKWOOD MAIN,ARUNTA STREET,EDEN HILLS,ARUNTA STREET,EDEN HILLS,ARUNTA STREET|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ARUNTA STREET, EDEN HILLS SA","2 ARUNTA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 2,100,-35.024513374326254,138.59435120326515,No,,,
35,BLACKWOOD MAIN-24,BLACKWOOD MAIN,ASH AVENUE,BELAIR,ASH AVENUE,BELAIR,ASH AVENUE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ASH AVENUE, BELAIR SA","17 ASH AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.005827257324405,138.61444404893828,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
36,BLACKWOOD MAIN-25,BLACKWOOD MAIN,ASH COURT,BELAIR,ASH COURT,BELAIR,ASH COURT|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ASH COURT, BELAIR SA","2 ASH COURT, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-35.00634277321826,138.61549251363067,No,,,
37,BLACKWOOD MAIN-26,BLACKWOOD MAIN,ASHBY AVENUE,BLACKWOOD,ASHBY AVENUE,BLACKWOOD,ASHBY AVENUE|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ASHBY AVENUE, BLACKWOOD SA","1 ASHBY AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02830592051578,138.61464950817134,No,,,
38,BLACKWOOD MAIN-27,BLACKWOOD MAIN,ASHLEY COURT,BLACKWOOD,ASHLEY COURT,BLACKWOOD,ASHLEY COURT|BLACKWOOD,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ASHLEY COURT, BLACKWOOD SA","1 ASHLEY COURT, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0266768333674,138.61628642233816,No,,,
39,BLACKWOOD MAIN-28,BLACKWOOD MAIN,ASHMORE ROAD,BELLEVUE HEIGHTS,ASHMORE ROAD,BELLEVUE HEIGHTS,ASHMORE ROAD|BELLEVUE HEIGHTS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 ASHMORE ROAD, BELLEVUE HEIGHTS SA","1 ASHMORE ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.028964813155845,138.59392374132833,No,,,
40,BLACKWOOD MAIN-29,BLACKWOOD MAIN,ATHOL STREET,BELAIR,ATHOL STREET,BELAIR,ATHOL STREET|BELAIR,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 ATHOL STREET, BELAIR SA","2 ATHOL STREET, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-35.0036349806246,138.63225763127525,No,,,
41,BLACKWOOD PARK-4,BLACKWOOD PARK,AUSTIN COURT,CRAIGBURN FARM,AUSTIN COURT,CRAIGBURN FARM,AUSTIN COURT|CRAIGBURN FARM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 AUSTIN COURT, CRAIGBURN FARM SA","1 AUSTIN COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03805856333199,138.61494230981432,No,,,
42,CORO STREETS-7,CORO STREETS,AVONDALE ROAD,COROMANDEL VALLEY,AVONDALE ROAD,COROMANDEL VALLEY,AVONDALE ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 AVONDALE ROAD, COROMANDEL VALLEY SA","1 AVONDALE ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04477592398904,138.62712186199573,No,,,
43,BLACKWOOD MAIN-30,BLACKWOOD MAIN,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD|PASADENA,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 AYLIFFES ROAD, PASADENA SA","1 AYLIFFES ROAD, ST MARYS, SOUTH AUSTRALIA, 5042",Reviewed No. 1,55,-35.010780870539215,138.57759391263897,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for AYLIFFES ROAD, ST MARYS.",,
44,BLACKWOOD MAIN-31,BLACKWOOD MAIN,BABBAGE STREET,BELAIR,BABBAGE STREET,BELAIR,BABBAGE STREET|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BABBAGE STREET, BELAIR SA","3A BABBAGE STREET, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00655517003581,138.61289856857735,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
45,BLACKWOOD MAIN-32,BLACKWOOD MAIN,BAECKEA PLACE,EDEN HILLS,BAECKEA PLACE,EDEN HILLS,BAECKEA PLACE|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"BAECKEA PLACE, EDEN HILLS SA","4 BAECKEA PLACE, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.01693041658858,138.6044519705136,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
46,BLACKWOOD MAIN-33,BLACKWOOD MAIN,BALDINA STREET,EDEN HILLS,BALDINA STREET,EDEN HILLS,BALDINA STREET|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 BALDINA STREET, EDEN HILLS SA","1 BALDINA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02782455888405,138.5942732888547,No,,,
47,BLACKWOOD MAIN-34,BLACKWOOD MAIN,BALY COURT,BELAIR,BALY COURT,BELAIR,BALY COURT|BELAIR,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ADAMSON AVENUE|BELAIR,"1 ADAMSON AVENUE, BELAIR SA","1 ADAMSON AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.997909338776445,138.6141023284303,No,The Directions route places the former/unmatched court as the third right from Adamson Avenue.,,
48,CORO STREETS-8,CORO STREETS,BANES ROAD,COROMANDEL VALLEY,BANES ROAD,COROMANDEL VALLEY,BANES ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 BANES ROAD, COROMANDEL VALLEY SA","1 BANES ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0530058559524,138.6155021195169,No,,,
49,BLACKWOOD MAIN-35,BLACKWOOD MAIN,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT|BLACKWOOD,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 BANKSIA CRESCENT, BLACKWOOD SA","1 BANKSIA CRESCENT, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed No. 1,55,-35.01123074621058,138.60507848775936,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for BANKSIA CRESCENT, BELAIR.",,
50,CORO STREETS-10,CORO STREETS,BARBARA CRESCENT,COROMANDEL VALLEY,BARBARA CRESCENT,COROMANDEL VALLEY,BARBARA CRESCENT|COROMANDEL VALLEY,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 BARBARA CRESCENT, COROMANDEL VALLEY SA","1 BARBARA CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.047368090174515,138.62110662046663,No,,,
51,BLACKWOOD MAIN-36,BLACKWOOD MAIN,BARINA CRESCENT,MITCHAM,BARINA CRESCENT,MITCHAM,BARINA CRESCENT|MITCHAM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 BARINA CRESCENT, MITCHAM SA","2 BARINA CRESCENT, MITCHAM, SOUTH AUSTRALIA, 5062",No. 2,100,-34.98756664550478,138.6204012993765,No,,,
52,BLACKWOOD MAIN-37,BLACKWOOD MAIN,BARR AVENUE,MITCHAM,BARR AVENUE,MITCHAM,BARR AVENUE|MITCHAM,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 BARR AVENUE, MITCHAM SA","2 BARR AVENUE, MITCHAM, SOUTH AUSTRALIA, 5062",No. 2,100,-34.9851004231609,138.6196691173823,No,,,
53,BLACKWOOD MAIN-38,BLACKWOOD MAIN,BARUNGA STREET,EDEN HILLS,BARUNGA STREET,EDEN HILLS,BARUNGA STREET|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 BARUNGA STREET, EDEN HILLS SA","1 BARUNGA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02675279102325,138.59877186768153,No,,,
54,BLACKWOOD MAIN-39,BLACKWOOD MAIN,BATLEY AVENUE,HAWTHORNDENE,BATLEY AVENUE,HAWTHORNDENE,BATLEY AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 BATLEY AVENUE, HAWTHORNDENE SA","1 BATLEY AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0258082122115,138.62430769310646,No,,,
55,BLACKWOOD MAIN-40,BLACKWOOD MAIN,BAUST CRESCENT,COROMANDEL VALLEY,BAUST CRESCENT,COROMANDEL VALLEY,BAUST CRESCENT|COROMANDEL VALLEY,Yes,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 BAUST CRESCENT, COROMANDEL VALLEY SA","1 BAUST CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03581807931428,138.62376620574244,No,,,
56,CORO STREETS-9,CORO STREETS,BAUST CRESCENT,COROMANDEL VALLEY,BAUST CRESCENT,COROMANDEL VALLEY,BAUST CRESCENT|COROMANDEL VALLEY,Yes,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 BAUST CRESCENT, COROMANDEL VALLEY SA","1 BAUST CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03581807931428,138.62376620574244,No,,,
57,BLACKWOOD MAIN-41,BLACKWOOD MAIN,BEACONSFIELD ROAD,EDEN HILLS,BEACONSFIELD ROAD,EDEN HILLS,BEACONSFIELD ROAD|EDEN HILLS,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"2 BEACONSFIELD ROAD, EDEN HILLS SA","2 BEACONSFIELD ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 2,100,-35.028290444365744,138.60375251968725,No,,,
58,BLACKWOOD MAIN-42,BLACKWOOD MAIN,BEAGLE TERRACE,LYNTON,BEAGLE TERRACE,LYNTON,BEAGLE TERRACE|LYNTON,No,Accepted,Accepted,Accepted,Accepted,Active,No,,No,,"1 BEAGLE TERRACE, LYNTON SA","1 BEAGLE TERRACE, LYNTON, SOUTH AUSTRALIA, 5062",No. 1,100,-34.99418830307323,138.6070371991146,No,,,
