Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
203,BLACKWOOD MAIN-139,BLACKWOOD MAIN,EMMETT ROAD,BROWNHILL CREEK · CRAFERS WEST,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
219,CORO STREETS-35,CORO STREETS,FLAMINGO CRESCENT,CORMANDEL VALLEY,FLAMINGO CRESCENT,CORMANDEL VALLEY,FLAMINGO CRESCENT|CORMANDEL VALLEY,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CRANE AVENUE|CORMANDEL VALLEY,"2 CRANE AVENUE, CORMANDEL VALLEY SA","2 CRANE AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,55,-35.043344291168545,138.62598854530842,No,Directions place Flamingo Crescent as the third right from Crane Avenue.,,
248,BLACKWOOD MAIN-175,BLACKWOOD MAIN,GLOUCESTER AVENUE,BELAIR · BLACKWOOD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
252,BLACKWOOD MAIN-178,BLACKWOOD MAIN,GOOCH ROAD,BELAIR NATIONAL PARK,GOOCH ROAD,BELAIR NATIONAL PARK,GOOCH ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,Directions identify Gooch Road as the Belair National Park entrance from Upper Sturt Road.,,
261,BLACKWOOD MAIN-184,BLACKWOOD MAIN,GRASKE GROVE,EDEN HILLS,GRASKE GROVE,EDEN HILLS,GRASKE GROVE|EDEN HILLS,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,PASADENA CRESCENT|PASADENA,"1 PASADENA CRESCENT, PASADENA SA","1 PASADENA CRESCENT, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed Directions route vicinity anchor,100,-35.01116065881851,138.58586084505305,No,Directions place Graske Grove directly from Pasadena Crescent.,,
264,BLACKWOOD MAIN-185,BLACKWOOD MAIN,GRATTON STREET,BELAIR · BLACKWOOD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CEDAR AVENUE|BLACKWOOD,"1 CEDAR AVENUE, BLACKWOOD SA","1 CEDAR AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.01012286733308,138.6190940094165,No,The Directions entry spans multiple locality fields. A reviewed official approach point (CEDAR AVENUE|BLACKWOOD) was selected without merging it with other same-name street records.,,
270,BLACKWOOD MAIN-189,BLACKWOOD MAIN,GREVILLEA WAY,BELAIR · BLACKWOOD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,GULFVIEW ROAD|BLACKWOOD,"2 GULFVIEW ROAD, BLACKWOOD SA","2 GULFVIEW ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.014752726604875,138.6171674955688,No,The Directions entry spans multiple locality fields. A reviewed official approach point (GULFVIEW ROAD|BLACKWOOD) was selected without merging it with other same-name street records.,,
273,BLACKWOOD MAIN-192,BLACKWOOD MAIN,GUM GROVE,BELAIR · BLACKWOOD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,GULFVIEW ROAD|BLACKWOOD,"2 GULFVIEW ROAD, BLACKWOOD SA","2 GULFVIEW ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.014752726604875,138.6171674955688,No,The Directions entry spans multiple locality fields. A reviewed official approach point (GULFVIEW ROAD|BLACKWOOD) was selected without merging it with other same-name street records.,,
274,BLACKWOOD MAIN-193,BLACKWOOD MAIN,GUM ROAD,HAWTHORNDENE,GUM ROAD,HAWTHORNDENE,GUM ROAD|HAWTHORNDENE,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,BLACKWOOD CFS|16A GORSE AVENUE HAWTHORNDENE,"16A GORSE AVENUE, HAWTHORNDENE SA","16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.02315147312423,138.62864279398076,No,This Directions entry is the Blackwood CFS station itself; the official 16A Gorse Avenue station coordinate is the correct operational starting point.,https://www.homely.com.au/find-street-by-suburb/hawthorndene-mitcham-adelaide-greater-south-australia,
326,BLACKWOOD MAIN-227,BLACKWOOD MAIN,JUBILEE DRIVE,BELAIR NATIONAL PARK,JUBILEE DRIVE,BELAIR NATIONAL PARK,JUBILEE DRIVE|BELAIR NATIONAL PARK,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,"QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA","LOT 599 QUEENS JUBILEE DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,55,-35.0076162646897,138.6497405220847,No,Directions and park naming indicate the reviewed Queens Jubilee Drive official candidate is the best live-map starting point.,,
344,BLACKWOOD MAIN-241,BLACKWOOD MAIN,LAFFERS ROAD,BELAIR · GLENALTA,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,UPPER STURT ROAD|BELAIR,"2 UPPER STURT ROAD, BELAIR SA","2 UPPER STURT ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.998930586791175,138.63197212299033,No,The Directions entry spans multiple locality fields. A reviewed official approach point (UPPER STURT ROAD|BELAIR) was selected without merging it with other same-name street records.,,
347,BLACKWOOD MAIN-242,BLACKWOOD MAIN,LALOR COURT,BELAIR,LALOR COURT,BELAIR,LALOR COURT|BELAIR,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,HORSELL ROAD|BELAIR,"1 HORSELL ROAD, BELAIR SA","1 HORSELL ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.995440626017626,138.64034187396433,No,Directions place Lalor Court as the first left from Horsell Road.,,
361,BLACKWOOD MAIN-252,BLACKWOOD MAIN,LITTLE JOHN STREET,GLENALTA,LITTLE JOHN STREET,GLENALTA,LITTLE JOHN STREET|GLENALTA,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,HUNTINGDON DRIVE|GLENALTA,"HUNTINGDON DRIVE, GLENALTA SA","3 HUNTINGDON DRIVE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-35.0157063776425,138.62123309796854,No,Directions place Little John Street as the first right from Huntingdon Drive.,,
369,BLACKWOOD MAIN-259,BLACKWOOD MAIN,MAIN RD,"BLACKWOOD · COROMANDEL AREA · 357 ABOVE, & 358 ABOVE",,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,HEWITT AVENUE|HAWTHORNDENE,"1 HEWITT AVENUE, HAWTHORNDENE SA","1 HEWETT AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,98.46,-35.02237766562309,138.62192596698395,No,The Directions entry spans multiple locality fields. A reviewed official approach point (HEWITT AVENUE|HAWTHORNDENE) was selected without merging it with other same-name street records.,,
370,CORO EAST & CHERRY-18,CORO EAST & CHERRY,MAIN ROAD,CHERRY GARDENS · CHANDLERS HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ACKLAND HILL ROAD|COROMANDEL VALLEY,"2 ACKLAND HILL ROAD, COROMANDEL VALLEY SA","2 ACKLAND HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0385029245131,138.63010146559213,No,The Directions entry spans multiple locality fields. A reviewed official approach point (ACKLAND HILL ROAD|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
371,CORO STREETS-59,CORO STREETS,MAIN ROAD,COROMANDEL VALLEY · CHERRY GARDENS · CHANDLERS HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ACKLAND HILL ROAD|COROMANDEL VALLEY,"2 ACKLAND HILL ROAD, COROMANDEL VALLEY SA","2 ACKLAND HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.0385029245131,138.63010146559213,No,The Directions entry spans multiple locality fields. A reviewed official approach point (ACKLAND HILL ROAD|COROMANDEL VALLEY) was selected without merging it with other same-name street records.,,
384,CORO EAST & CHERRY-20,CORO EAST & CHERRY,MATTHEWS ROAD,DORSET VALE,MATTHEWS ROAD,DORSET VALE,MATTHEWS ROAD|DORSET VALE,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,CHERRY GARDENS ROAD|CHERRY GARDENS,"CHERRY GARDENS ROAD, CHERRY GARDENS SA","11 CHERRY GARDENS ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed Directions route vicinity anchor,100,-35.07102578695614,138.62775175909036,No,Directions reach Matthews Road via Cherry Gardens Road and Dorset Vale Road; use the reviewed official Cherry Gardens Road approach area.,,
393,BLACKWOOD MAIN-269,BLACKWOOD MAIN,MELIA GROVE,PASADENA,MELIA GROVE,PASADENA,MELIA GROVE|PASADENA,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,PRITCHARD GROVE|PASADENA,"PRITCHARD GROVE, PASADENA SA","3 PRITCHARD GROVE, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed Directions route vicinity anchor,100,-35.008813976392055,138.59262997076374,No,Directions place Melia Grove immediately from Pritchard Grove.,,
395,BLACKWOOD MAIN-271,BLACKWOOD MAIN,MELVILLE GULLY ROAD,BELAIR NATIONAL PARK,MELVILLE GULLY ROAD,BELAIR NATIONAL PARK,MELVILLE GULLY ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,"QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA","LOT 599 QUEENS JUBILEE DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,55,-35.0076162646897,138.6497405220847,No,Internal park road from the Long Gully area; use the reviewed official park-road starting point.,,
412,BLACKWOOD MAIN-285,BLACKWOOD MAIN,MOUNT BARKER ROAD,EAGLE ON THE HILL · LEAWOOD GARDENS,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,JAMES ROAD|BELAIR,"2 JAMES ROAD, BELAIR SA","2 JAMES ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99664545319125,138.6307084152919,No,The Directions entry spans multiple locality fields. A reviewed official approach point (JAMES ROAD|BELAIR) was selected without merging it with other same-name street records.,,
418,CORO STREETS-69,CORO STREETS,MURRAY'S HILL ROAD,COROMANDEL VALLEY · FLAGSTAFF HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,GLENDALE AVENUE|FLAGSTAFF HILL,"2 GLENDALE AVENUE, FLAGSTAFF HILL SA","2 GLENDALE AVENUE, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",Reviewed Directions route vicinity anchor,100,-35.05750496843955,138.6146694314909,No,The Directions entry spans multiple locality fields. A reviewed official approach point (GLENDALE AVENUE|FLAGSTAFF HILL) was selected without merging it with other same-name street records.,,
425,BLACKWOOD MAIN-296,BLACKWOOD MAIN,NARDU CRESCENT,BELAIR,NARDU CRESCENT,BELAIR,NARDU CRESCENT|BELAIR,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,ADAMSON AVENUE|BELAIR,"1 ADAMSON AVENUE, BELAIR SA","1 ADAMSON AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.997909338776445,138.6141023284303,No,Directions place Nardu Crescent as the second right from Adamson Avenue.,,
427,BLACKWOOD MAIN-298,BLACKWOOD MAIN,NERLI STREET,EDEN HILLS,NERLI STREET,EDEN HILLS,NERLI STREET|EDEN HILLS,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,EURILPA STREET|EDEN HILLS,"1 EURILPA STREET, EDEN HILLS SA","1 EURILPA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed Directions route vicinity anchor,100,-35.019248815016724,138.59795679044697,No,Directions place Nerli Street as the second left from Eurilpa Street.,,
435,BLACKWOOD MAIN-302,BLACKWOOD MAIN,NORTHCOTE STREET,EDEN HILLS,NORTHCOTE STREET,EDEN HILLS,NORTHCOTE STREET|EDEN HILLS,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,SHAFTSBURY STREET|EDEN HILLS,"1 SHAFTSBURY STREET, EDEN HILLS SA","1 SHAFTSBURY STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed Directions route vicinity anchor,100,-35.02867770388989,138.6042605643363,No,The old/unmatched Northcote Street route is in the Shaftsbury Street area off Shepherds Hill Road.,,
442,BLACKWOOD MAIN-308,BLACKWOOD MAIN,OLAVE HILL ROAD,HAWTHORNDENE · UPPER STURT,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,RANKEYS HILL ROAD|HAWTHORNDENE,"1 RANKEYS HILL ROAD, HAWTHORNDENE SA","1 RANKEYS HILL ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed Directions route vicinity anchor,100,-35.01678045803144,138.6385845304462,No,The Directions entry spans multiple locality fields. A reviewed official approach point (RANKEYS HILL ROAD|HAWTHORNDENE) was selected without merging it with other same-name street records.,,
443,BLACKWOOD MAIN-309,BLACKWOOD MAIN,OLD BELAIR ROAD,BELAIR · MITCHAM,,,,No,Ambiguous,Ambiguous authoritative locality fields,Reviewed multi-locality vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,SHEOAK ROAD|BELAIR,"1 SHEOAK ROAD, BELAIR SA","1 SHEOAK ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed Directions route vicinity anchor,100,-34.99760924377543,138.62290665681243,No,The Directions entry spans multiple locality fields. A reviewed official approach point (SHEOAK ROAD|BELAIR) was selected without merging it with other same-name street records.,,
459,BLACKWOOD MAIN-321,BLACKWOOD MAIN,PENDELBURY WAY,BELLEVUE HEIGHTS,PENDELBURY WAY,BELLEVUE HEIGHTS,PENDELBURY WAY|BELLEVUE HEIGHTS,No,Failed,Failed,Reviewed vicinity anchor,Reviewed resolution,Active,Yes,Moderate,Yes,FLINDERS ROAD|BELLEVUE HEIGHTS,"1 FLINDERS ROAD, BELLEVUE HEIGHTS SA","1 FLINDERS ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",Reviewed Directions route vicinity anchor,100,-35.032540871131815,138.58195196090813,No,Directions place Pendelbury Way as the first right from Flinders Road.,,
